
Date,Open,High,Low,Close,Volume,Adjusted Close
2013-1-1,8.93,8.93,8.93,8.93,0,8.74
2013-1-2,8.93,8.93,8.93,8.93,0,8.74
2013-1-3,8.93,8.93,8.93,8.93,0,8.74
2013-1-4,9,9.05,8.7,8.84,17687000,8.65
2013-1-7,8.75,8.97,8.69,8.88,16035700,8.69
2013-1-8,8.82,8.89,8.68,8.77,9919300,8.58
2013-1-9,8.71,8.87,8.6,8.74,10545500,8.56
2013-1-10,8.77,9.05,8.73,8.87,16276400,8.68
2013-1-11,8.86,8.88,8.49,8.59,11430900,8.41
2013-1-14,8.55,9.05,8.52,8.97,23907400,8.78
2013-1-15,8.95,9.29,8.92,9.19,24925100,9
2013-1-16,9.18,9.18,8.75,9.05,18520700,8.86
2013-1-17,8.96,9.39,8.84,9.19,26227500,9
2013-1-18,9.35,9.35,9.03,9.26,21700200,9.06
2013-1-21,9.24,9.28,9.11,9.24,13052500,9.04
2013-1-22,9.19,9.33,8.98,9.11,16476300,8.92
2013-1-23,9.01,9.13,8.82,9.06,12169000,8.87
2013-1-24,9.03,9.36,8.83,8.99,25580200,8.8
2013-1-25,8.82,8.9,8.55,8.59,21740400,8.41
2013-1-28,8.63,8.92,8.6,8.92,28263400,8.73
2013-1-29,8.9,9.28,8.82,9.19,35354900,9
2013-1-30,9.25,9.52,9.18,9.27,30782100,9.07
2013-1-31,9.26,9.75,9.21,9.55,39111600,9.35
2013-2-1,9.43,10.1,9.39,10,51317200,9.79
2013-2-4,10.05,10.26,9.73,9.83,46658900,9.62
2013-2-5,9.77,10.6,9.71,10.17,41214400,9.95
2013-2-6,10.13,10.5,10,10.18,38322500,9.96
2013-2-7,10.15,10.35,9.87,10.25,33629500,10.03
2013-2-8,10.18,10.48,10.01,10.38,29332800,10.16
2013-2-11,10.38,10.38,10.38,10.38,0,10.16
2013-2-12,10.38,10.38,10.38,10.38,0,10.16
2013-2-13,10.38,10.38,10.38,10.38,0,10.16
2013-2-14,10.38,10.38,10.38,10.38,0,10.16
2013-2-15,10.38,10.38,10.38,10.38,0,10.16
2013-2-18,10.45,10.6,10.18,10.27,26341000,10.05
2013-2-19,10.23,10.35,9.95,10.04,24123800,9.83
2013-2-20,10.03,10.3,9.9,10.29,21248600,10.07
2013-2-21,10.15,10.15,9.54,9.7,26045800,9.49
2013-2-22,9.68,9.85,9.59,9.78,15028300,9.57
2013-2-25,9.82,10.03,9.76,9.87,13003700,9.66
2013-2-26,9.72,10,9.56,9.57,16858100,9.37
2013-2-27,9.64,9.97,9.64,9.82,14126100,9.61
2013-2-28,9.92,10.24,9.74,10.15,28624000,9.94
2013-3-1,10.1,10.24,9.91,10.1,21003500,9.89
2013-3-4,10,10,9.26,9.38,24051600,9.18
2013-3-5,9.4,9.82,9.33,9.78,17619300,9.57
2013-3-6,9.8,10.05,9.79,9.85,18678200,9.64
2013-3-7,9.85,10.1,9.63,9.76,19780300,9.55
2013-3-8,9.73,9.83,9.46,9.53,11419200,9.33
2013-3-11,9.5,9.61,9.33,9.45,8875400,9.25
2013-3-12,9.41,9.68,9.23,9.39,11553000,9.19
2013-3-13,9.38,9.42,9.18,9.28,6829900,9.08
2013-3-14,9.2,9.41,9.13,9.16,7400900,8.97
2013-3-15,9.2,9.5,8.99,9.18,15534400,8.99
2013-3-18,9.17,9.28,9.08,9.11,6925000,8.92
2013-3-19,9.16,9.37,9.09,9.28,8649200,9.08
2013-3-20,9.29,9.73,9.25,9.66,21908700,9.46
2013-3-21,9.6,9.69,9.56,9.67,12489800,9.47
2013-3-22,9.65,9.72,9.58,9.62,9646900,9.42
2013-3-25,9.62,9.62,9.62,9.62,0,9.42
2013-3-26,9.45,9.46,9.12,9.28,14438300,9.08
2013-3-27,9.26,9.43,9.18,9.28,7478900,9.08
2013-3-28,9.05,9.06,8.62,8.77,12651700,8.58
2013-3-29,8.83,8.86,8.61,8.62,8049100,8.44
2013-4-1,8.51,8.75,8.51,8.63,6693200,8.45
2013-4-2,8.63,8.83,8.53,8.73,8022600,8.55
2013-4-3,8.76,8.84,8.64,8.66,4958200,8.48
2013-4-4,8.66,8.66,8.66,8.66,0,8.48
2013-4-5,8.66,8.66,8.66,8.66,0,8.48
2013-4-8,8.42,8.7,8.38,8.62,4693000,8.44
2013-4-9,8.68,8.81,8.66,8.7,6634700,8.52
2013-4-10,8.7,8.74,8.3,8.48,9037700,8.3
2013-4-11,8.56,8.59,8.32,8.35,5420200,8.17
2013-4-12,8.38,8.4,8.06,8.13,8330200,7.96
2013-4-15,8.18,8.26,8.04,8.13,6041600,7.96
2013-4-16,8.04,8.39,8.03,8.33,7204100,8.15
2013-4-17,8.33,8.36,8.17,8.26,5777400,8.09
2013-4-18,8.21,8.45,8.17,8.34,6044600,8.16
2013-4-19,8.37,8.7,8.34,8.63,12270100,8.45
2013-4-22,8.6,8.68,8.55,8.65,7662000,8.47
2013-4-23,8.65,8.65,8.21,8.22,8682400,8.05
2013-4-24,8.24,8.52,8.12,8.45,14094900,8.27
2013-4-25,8.37,8.61,8.23,8.38,10913600,8.2
2013-4-26,8.48,8.54,8.24,8.31,6293700,8.13
2013-4-29,8.31,8.31,8.31,8.31,0,8.13
2013-4-30,8.31,8.31,8.31,8.31,0,8.13
2013-5-1,8.31,8.31,8.31,8.31,0,8.13
2013-5-2,8.25,8.5,8.22,8.41,5784300,8.23
2013-5-3,8.42,8.76,8.42,8.71,13835100,8.53
2013-5-6,8.75,8.84,8.65,8.8,10166700,8.61
2013-5-7,8.78,8.78,8.62,8.71,8255400,8.53
2013-5-8,8.76,8.84,8.59,8.68,7861500,8.5
2013-5-9,8.62,8.68,8.28,8.48,19396100,8.3
2013-5-10,8.38,8.52,8.34,8.46,7260700,8.28
2013-5-13,8.41,8.48,8.33,8.4,4962100,8.22
2013-5-14,8.35,8.42,8.24,8.28,5704800,8.1
2013-5-15,8.28,8.96,8.28,8.63,18458200,8.45
2013-5-16,8.57,8.92,8.53,8.89,25010500,8.7
2013-5-17,8.88,9.03,8.77,8.93,18060000,8.74
2013-5-20,8.91,9.15,8.9,8.96,11751000,8.77
2013-5-21,8.93,8.98,8.84,8.96,7335300,8.77
2013-5-22,8.98,9.18,8.98,9.04,11156600,8.85
2013-5-23,9,9.57,8.9,9.29,29095600,9.09
2013-5-24,9.32,9.47,9.18,9.4,13410300,9.2
2013-5-27,9.43,9.86,9.35,9.77,23386100,9.56
2013-5-28,9.7,9.95,9.65,9.92,20589400,9.71
2013-5-29,10.03,10.1,9.8,9.89,13985000,9.68
2013-5-30,9.86,10.06,9.79,9.83,11029800,9.62
2013-5-31,9.85,9.95,9.67,9.68,10061700,9.48
2013-6-3,9.75,9.89,9.59,9.69,8217300,9.49
2013-6-4,9.65,9.93,9.56,9.73,12512900,9.52
2013-6-5,9.75,9.79,9.43,9.62,10596100,9.42
2013-6-6,9.55,9.74,9.49,9.55,9906900,9.35
2013-6-7,9.8,10.39,9.78,9.82,42346100,9.61
2013-6-10,9.82,9.82,9.82,9.82,0,9.61
2013-6-11,9.82,9.82,9.82,9.82,0,9.61
2013-6-12,9.82,9.82,9.82,9.82,0,9.61
2013-6-13,9.58,9.58,9,9.32,18779800,9.21
2013-6-14,9.4,9.48,9.15,9.35,13287300,9.24
2013-6-17,9.39,9.76,9.23,9.54,16292700,9.42
2013-6-18,9.61,9.73,9.35,9.49,13088400,9.38
2013-6-19,9.26,9.45,8.88,9.2,14519400,9.09
2013-6-20,9.1,9.16,8.6,8.62,10292900,8.52
2013-6-21,8.4,8.85,8.32,8.68,10893800,8.58
2013-6-24,8.65,8.74,7.81,7.81,17165700,7.72
2013-6-25,7.65,7.95,7.07,7.85,18948200,7.76
2013-6-26,7.8,7.98,7.55,7.82,14296500,7.73
2013-6-27,7.88,8,7.4,7.46,12731300,7.37
2013-6-28,7.31,7.91,7.31,7.67,14965400,7.58
2013-7-1,7.66,7.86,7.58,7.8,7246700,7.71
2013-7-2,7.8,8.02,7.63,7.91,10118600,7.81
2013-7-3,7.82,7.91,7.65,7.8,7282800,7.71
2013-7-4,7.7,7.98,7.48,7.84,13302600,7.75
2013-7-5,7.86,8.02,7.8,7.82,8140500,7.73
2013-7-8,7.71,7.93,7.48,7.56,7944900,7.47
2013-7-9,7.63,7.71,7.53,7.59,3843800,7.5
2013-7-10,7.5,7.93,7.45,7.87,12065300,7.77
2013-7-11,7.85,8.66,7.82,8.55,23909800,8.45
2013-7-12,8.4,8.64,8.19,8.23,17353300,8.13
2013-7-15,8.31,8.88,8.24,8.6,19378000,8.5
2013-7-16,8.5,8.68,8.39,8.67,9604800,8.57
2013-7-17,8.63,8.91,8.52,8.52,10330400,8.42
2013-7-18,8.5,8.61,8.3,8.3,6432000,8.2
2013-7-19,8.29,8.45,7.93,7.95,11346400,7.85
2013-7-22,7.8,8.1,7.72,8.05,9092000,7.95
2013-7-23,8.1,8.56,8.06,8.46,13963600,8.36
2013-7-24,8.36,8.46,8.2,8.38,8297700,8.28
2013-7-25,8.4,8.58,8.3,8.35,7885500,8.25
2013-7-26,8.31,8.54,8.25,8.42,9038400,8.32
2013-7-29,8.3,8.35,8.18,8.22,4453900,8.12
2013-7-30,8.34,8.62,8.24,8.41,9651200,8.31
2013-7-31,8.6,9.1,8.59,8.6,13196900,8.5
2013-8-1,8.71,9.06,8.64,8.99,12665600,8.88
2013-8-2,9.04,9.24,9,9.02,11890000,8.91
2013-8-5,9,9.1,8.9,9.07,6077700,8.96
2013-8-6,9.01,9.07,8.88,9.03,6499300,8.92
2013-8-7,9.06,9.35,8.91,8.99,8311700,8.88
2013-8-8,8.9,9.02,8.75,8.82,8365000,8.71
2013-8-9,8.89,9.01,8.74,8.86,7644900,8.75
2013-8-12,8.97,9.74,8.93,9.53,21841500,9.41
2013-8-13,9.38,9.54,9.35,9.45,10665300,9.34
2013-8-14,9.48,9.88,9.43,9.54,15596800,9.42
2013-8-15,9.59,9.86,9.49,9.56,15593600,9.44
2013-8-16,9.52,10.49,9.16,9.37,39655900,9.26
2013-8-19,9,9.15,8.6,9.01,39272100,8.9
2013-8-20,8.92,9.14,8.79,8.84,21262100,8.73
2013-8-21,8.9,9.03,8.77,8.99,12538800,8.88
2013-8-22,8.95,9.07,8.8,8.83,11976700,8.72
2013-8-23,8.86,8.92,8.5,8.7,10571300,8.59
2013-8-26,8.9,9.34,8.81,9.33,26222000,9.22
2013-8-27,9.28,9.45,9.21,9.36,13058400,9.25
2013-8-28,9.28,9.37,9.1,9.19,16381100,9.08
2013-8-29,9.4,9.71,9.4,9.45,26050000,9.34
2013-8-30,9.4,10.1,9.31,9.84,31542900,9.72
2013-9-2,9.9,10.09,9.6,10.01,27116400,9.89
2013-9-3,10,10.02,9.67,10,18246900,9.88
2013-9-4,9.92,9.93,9.58,9.7,18437800,9.58
2013-9-5,9.65,9.75,9.51,9.53,12654900,9.41
2013-9-6,9.53,9.73,9.47,9.68,14633900,9.56
2013-9-9,9.7,10.36,9.6,10.15,36641200,10.03
2013-9-10,10.05,10.28,9.9,10.26,30370300,10.14
2013-9-11,10.3,10.56,10.04,10.08,27074000,9.96
2013-9-12,10.03,10.55,10.02,10.36,26217000,10.23
2013-9-13,10.36,10.36,10.11,10.14,12272300,10.02
2013-9-16,10.19,10.29,9.96,10.04,10244100,9.92
2013-9-17,10.06,10.48,9.98,10.02,12499700,9.9
2013-9-18,9.95,10.14,9.91,10.03,7587800,9.91
2013-9-20,10.03,10.03,10.03,10.03,0,9.91
2013-9-23,10.04,10.17,9.96,10.08,14977400,9.96
2013-9-24,10.05,10.06,9.41,9.5,29825400,9.39
2013-9-25,9.46,9.6,9.27,9.31,14057100,9.2
2013-9-26,9.36,9.39,8.96,8.97,22101400,8.86
2013-9-27,9,9.14,8.9,9.12,12211700,9.01
2013-9-30,9.17,9.17,8.99,9.02,9220000,8.91
2013-10-1,9.02,9.02,9.02,9.02,0,8.91
2013-10-2,9.02,9.02,9.02,9.02,0,8.91
2013-10-3,9.02,9.02,9.02,9.02,0,8.91
2013-10-4,9.02,9.02,9.02,9.02,0,8.91
2013-10-7,9.02,9.02,9.02,9.02,0,8.91
2013-10-8,8.99,9.36,8.82,9.27,13706700,9.16
2013-10-9,9.2,9.34,9.15,9.31,11916800,9.2
2013-10-10,9.32,9.36,8.99,9.04,14147300,8.93
2013-10-11,9.11,9.26,9.07,9.2,12154500,9.09
2013-10-14,9.21,9.32,9.03,9.18,10876200,9.07
2013-10-15,9.18,9.28,9.09,9.17,7970200,9.06
2013-10-16,9.17,9.25,8.83,8.87,14517000,8.76
2013-10-17,8.99,9.06,8.85,8.9,12082500,8.79
2013-10-18,8.87,9.19,8.87,8.99,13324300,8.88
2013-10-21,9.04,9.18,8.91,9.12,11752200,9.01
2013-10-22,9.09,9.15,8.91,8.95,11395800,8.84
2013-10-23,8.99,9.2,8.88,8.97,13352700,8.86
2013-10-24,8.89,8.92,8.75,8.81,8293400,8.7
2013-10-25,8.81,8.95,8.59,8.68,8937500,8.58
2013-10-28,8.68,8.73,8.53,8.6,6667700,8.5
2013-10-29,8.72,9.19,8.67,8.99,23266400,8.88
2013-10-30,8.98,9.03,8.85,9.01,13315500,8.9
2013-10-31,9.01,9.27,9,9.08,21203300,8.97
2013-11-1,9.1,9.46,9.06,9.39,28797800,9.28
2013-11-4,9.43,9.47,9.24,9.31,11987500,9.2
2013-11-5,9.24,9.45,9.02,9.33,19108900,9.22
2013-11-6,9.23,9.32,9.05,9.07,13335300,8.96
2013-11-7,9.02,9.17,9,9.1,9637900,8.99
2013-11-8,9.02,9.05,8.4,8.48,19514800,8.38
2013-11-11,8.41,8.54,8.31,8.44,5978600,8.34
2013-11-12,8.49,8.67,8.45,8.63,11491000,8.53
2013-11-13,8.56,8.56,8.31,8.33,8933200,8.23
2013-11-14,8.35,8.55,8.34,8.5,6901300,8.4
2013-11-15,8.53,9.35,8.53,9.19,46095600,9.08
2013-11-18,9.29,9.81,9.14,9.73,45987800,9.61
2013-11-19,9.61,9.66,9.46,9.59,29040500,9.47
2013-11-20,9.65,9.74,9.48,9.64,18671400,9.52
2013-11-21,9.52,9.75,9.35,9.64,29238900,9.52
2013-11-22,9.69,9.75,9.5,9.53,21243800,9.41
2013-11-25,9.43,9.77,9.38,9.48,16539100,9.37
2013-11-26,9.48,9.8,9.44,9.63,22263500,9.51
2013-11-27,9.62,10.04,9.59,9.9,35343100,9.78
2013-11-28,9.91,10.06,9.83,9.87,23816200,9.75
2013-11-29,9.9,9.97,9.77,9.84,15401700,9.72
2013-12-2,10.2,10.81,9.98,10.32,62833500,10.2
2013-12-3,10.19,10.49,10.03,10.42,22170800,10.29
2013-12-4,10.65,11.05,10.42,10.62,37996100,10.49
2013-12-5,10.48,10.84,10.43,10.67,20232500,10.54
2013-12-6,10.6,10.76,10.2,10.4,17484300,10.27
2013-12-9,10.48,10.8,10.46,10.5,17993100,10.37
2013-12-10,10.45,10.65,10.36,10.54,19296100,10.41
2013-12-11,10.5,10.51,9.97,10.03,25037000,9.91
2013-12-12,10.03,10.11,9.85,9.99,17086800,9.87
2013-12-13,9.85,10.13,9.81,10.05,9515700,9.93
2013-12-16,10.15,10.2,9.72,9.74,10478800,9.62
2013-12-17,9.75,9.93,9.67,9.74,11824700,9.62
2013-12-18,9.74,9.94,9.72,9.83,12251100,9.71
2013-12-19,9.92,9.95,9.6,9.74,14636200,9.62
2013-12-20,9.74,9.77,9.42,9.45,18296300,9.34
2013-12-23,9.47,9.58,9.15,9.55,15753300,9.43
2013-12-24,9.52,9.63,9.36,9.44,9379100,9.33
2013-12-25,9.45,9.68,9.41,9.67,11833100,9.55
2013-12-26,9.64,9.65,9.46,9.48,7594900,9.37
2013-12-27,9.48,9.84,9.48,9.77,14737100,9.65
2013-12-30,9.83,9.86,9.69,9.76,7912100,9.64
2013-12-31,9.7,9.97,9.66,9.93,13700900,9.81
2014-1-1,9.93,9.93,9.93,9.93,0,9.81
2014-1-2,9.9,9.9,9.69,9.75,14209500,9.63
2014-1-3,9.7,9.72,9.38,9.45,14379300,9.34
2014-1-6,9.4,9.42,9.12,9.23,14829900,9.12
2014-1-7,9.13,9.25,9.08,9.23,8390700,9.12
2014-1-8,9.23,9.47,9.2,9.43,14004700,9.32
2014-1-9,9.4,9.53,9.23,9.24,8783200,9.13
2014-1-10,9.29,9.3,8.85,9.05,11946100,8.94
2014-1-13,8.99,9.09,8.7,8.77,10522100,8.66
2014-1-14,8.78,9.05,8.73,8.99,9176500,8.88
2014-1-15,9,9.03,8.8,8.91,7727300,8.8
2014-1-16,8.99,9.2,8.93,9.04,14258800,8.93
2014-1-17,9,9.11,8.9,9,8968200,8.89
2014-1-20,8.92,9.12,8.9,9.09,5947200,8.98
2014-1-21,9.08,9.32,9.06,9.19,12014800,9.08
2014-1-22,9.2,9.52,9.15,9.5,16737700,9.39
2014-1-23,9.46,9.7,9.39,9.55,11445300,9.43
2014-1-24,9.51,9.85,9.5,9.63,15093800,9.51
2014-1-27,9.54,9.6,9.32,9.34,11242800,9.23
2014-1-28,9.35,9.51,9.35,9.42,6520000,9.31
2014-1-29,9.48,9.56,9.37,9.49,8478700,9.38
2014-1-30,9.43,9.5,9.25,9.26,6748000,9.15
2014-1-31,9.26,9.26,9.26,9.26,0,9.15
2014-2-3,9.26,9.26,9.26,9.26,0,9.15
2014-2-5,9.26,9.26,9.26,9.26,0,9.15
2014-2-6,9.26,9.26,9.26,9.26,0,9.15
2014-2-7,9.2,9.24,8.96,9.21,14993700,9.1
2014-2-10,9.21,9.53,9.21,9.52,20117600,9.4
2014-2-11,9.52,9.72,9.43,9.56,25488300,9.44
2014-2-12,9.59,9.66,9.49,9.64,15267100,9.52
2014-2-13,9.62,9.62,9.4,9.42,18444700,9.31
2014-2-14,9.46,9.52,9.35,9.47,11183500,9.36
2014-2-17,9.54,9.65,9.5,9.57,18092700,9.45
2014-2-18,9.57,9.59,9.2,9.29,18286900,9.18
2014-2-19,9.23,9.4,9.12,9.28,16020400,9.17
2014-2-20,9.33,9.36,9,9.02,17283300,8.91
2014-2-21,8.98,8.98,8.73,8.81,16527200,8.7
2014-2-24,8.73,8.73,8.5,8.61,13061100,8.51
2014-2-25,8.63,8.66,8.35,8.35,12538700,8.25
2014-2-26,8.36,8.48,8.32,8.48,10268300,8.38
2014-2-27,8.5,8.54,8.42,8.44,10451200,8.34
2014-2-28,8.44,8.98,8.41,8.95,23902400,8.84
2014-3-3,8.85,8.88,8.69,8.79,11860800,8.68
2014-3-4,8.83,8.91,8.72,8.88,11052100,8.77
2014-3-5,8.97,9,8.71,8.73,8297000,8.62
2014-3-6,8.69,8.9,8.5,8.8,11189500,8.69
2014-3-7,8.75,8.85,8.56,8.62,9016700,8.52
2014-3-10,8.5,8.54,8.35,8.38,6136500,8.28
2014-3-11,8.37,8.54,8.34,8.44,6558500,8.34
2014-3-12,8.39,8.46,8.1,8.27,8856900,8.17
2014-3-13,8.29,8.48,8.28,8.36,7710900,8.26
2014-3-14,8.32,8.4,8.18,8.31,7696600,8.21
2014-3-17,8.35,8.38,8.25,8.38,5297100,8.28
2014-3-18,8.38,8.44,8.36,8.39,5327200,8.29
2014-3-19,8.38,8.38,8.19,8.32,4842500,8.22
2014-3-20,8.3,8.4,8.13,8.15,7064300,8.05
2014-3-21,8.12,8.49,8.11,8.45,13633500,8.35
2014-3-24,8.44,8.69,8.35,8.55,13426200,8.45
2014-3-25,8.52,8.85,8.48,8.63,18800300,8.53
2014-3-26,8.69,8.77,8.5,8.55,7312400,8.45
2014-3-27,8.54,8.64,8.39,8.41,8497900,8.31
2014-3-28,8.4,8.5,8.31,8.39,6103600,8.29
2014-3-31,8.41,8.51,8.31,8.37,3836400,8.27
2014-4-1,8.34,8.52,8.34,8.51,6408500,8.41
2014-4-2,8.51,8.59,8.45,8.51,5452000,8.41
2014-4-3,8.55,8.8,8.54,8.57,13728300,8.47
2014-4-4,8.52,8.81,8.51,8.74,11310900,8.63
2014-4-7,8.74,8.74,8.74,8.74,0,8.63
2014-4-8,8.74,8.96,8.7,8.88,14263500,8.77
2014-4-9,8.94,8.96,8.75,8.79,9433400,8.68
