Unknown
Date,Open,High,Low,Close,Volume,Adjusted Close
2013-1-1,10.55,10.55,10.55,10.55,0,10.31
2013-1-2,10.55,10.55,10.55,10.55,0,10.31
2013-1-3,10.55,10.55,10.55,10.55,0,10.31
2013-1-4,10.7,10.78,10.28,10.41,34161500,10.17
2013-1-7,10.35,10.47,10.25,10.38,18467300,10.14
2013-1-8,10.36,10.39,10.07,10.15,19993000,9.92
2013-1-9,10.1,10.23,10.03,10.12,12035300,9.89
2013-1-10,10.21,10.38,10.05,10.12,21310300,9.89
2013-1-11,10.12,10.17,9.78,9.86,19805700,9.63
2013-1-14,9.8,10.36,9.75,10.33,24936300,10.09
2013-1-15,10.32,10.47,10.28,10.38,20415900,10.14
2013-1-16,10.39,10.45,9.96,10.14,25280800,9.91
2013-1-17,10.11,10.36,10.01,10.23,19574300,10
2013-1-18,10.32,10.59,10.13,10.4,23248200,10.16
2013-1-21,10.42,10.54,10.31,10.4,18300400,10.16
2013-1-22,10.44,10.54,10.23,10.35,24569800,10.11
2013-1-23,10.29,10.4,10.13,10.31,18702900,10.07
2013-1-24,10.33,10.65,10.13,10.25,42759600,10.02
2013-1-25,10.22,10.34,10.09,10.16,21048100,9.93
2013-1-28,10.25,11.18,10.24,11.18,82030100,10.92
2013-1-29,11.39,12.3,11.3,12.3,126193600,12.02
2013-1-30,12.66,12.86,12.4,12.77,113813400,12.48
2013-1-31,12.59,13.09,12.5,12.82,85085300,12.53
2013-2-1,12.65,14.1,12.57,14.1,105194900,13.78
2013-2-4,13.92,14.32,13.7,14.04,89129200,13.72
2013-2-5,13.8,14.05,13.66,13.87,51790100,13.55
2013-2-6,13.81,14.29,13.72,13.84,63758100,13.52
2013-2-7,13.82,14.15,13.11,13.6,66094000,13.29
2013-2-8,13.52,13.96,13.47,13.6,38383700,13.29
2013-2-11,13.6,13.6,13.6,13.6,0,13.29
2013-2-12,13.6,13.6,13.6,13.6,0,13.29
2013-2-13,13.6,13.6,13.6,13.6,0,13.29
2013-2-14,13.6,13.6,13.6,13.6,0,13.29
2013-2-15,13.6,13.6,13.6,13.6,0,13.29
2013-2-18,13.61,13.69,13,13.06,37053800,12.76
2013-2-19,12.99,13.45,12.93,13.17,57389400,12.87
2013-2-20,13.18,13.3,12.85,13.18,34285300,12.88
2013-2-21,12.95,13.05,12.18,12.31,60271600,12.03
2013-2-22,12.33,12.7,12.26,12.53,39126300,12.24
2013-2-25,12.72,12.94,12.48,12.65,44297600,12.36
2013-2-26,12.41,13.46,12.23,12.7,86653400,12.41
2013-2-27,13,13.9,12.99,13.77,100516700,13.46
2013-2-28,13.88,14.39,13.5,14.29,108103000,13.96
2013-3-1,14.11,14.37,13.8,14.29,75116300,13.96
2013-3-4,13.83,14.05,13.12,13.45,73869300,13.14
2013-3-5,13.5,14.76,13.42,14.71,100562200,14.37
2013-3-6,14.75,14.77,14.33,14.46,80705200,14.13
2013-3-7,14.62,14.86,13.76,14.08,76342600,13.76
2013-3-8,14.06,14.17,13.5,13.57,46615700,13.26
2013-3-11,13.56,13.98,13.22,13.65,40792200,13.34
2013-3-12,13.64,14,13.25,13.5,46001900,13.19
2013-3-13,13.4,13.48,12.97,13,42281500,12.7
2013-3-14,12.99,13.25,12.95,13.02,27068700,12.72
2013-3-15,13.12,13.65,12.6,13.01,67671900,12.71
2013-3-18,12.86,13,12.52,12.56,39172900,12.27
2013-3-19,12.57,13.12,12.47,12.91,43022300,12.62
2013-3-20,12.92,13.94,12.89,13.91,81519800,13.59
2013-3-21,13.89,14,13.69,13.89,45194600,13.57
2013-3-22,13.87,14.05,13.7,13.98,38122000,13.66
2013-3-25,14.01,14.15,13.56,13.65,38337400,13.34
2013-3-26,13.55,13.55,12.98,13.11,39513900,12.81
2013-3-27,13.16,13.6,13.05,13.33,37584400,13.03
2013-3-28,12.9,12.9,12.5,12.59,36975100,12.3
2013-3-29,12.63,12.75,12.04,12.07,33228700,11.79
2013-4-1,12.08,12.54,12.05,12.3,24842000,12.02
2013-4-2,12.18,12.6,12.18,12.5,33008900,12.21
2013-4-3,12.52,12.62,12.2,12.28,21352400,12
2013-4-4,12.28,12.28,12.28,12.28,0,12
2013-4-5,12.28,12.28,12.28,12.28,0,12
2013-4-8,11.92,12.08,11.55,12.03,23806500,11.76
2013-4-9,12.13,12.49,12.13,12.28,25120900,12
2013-4-10,12.25,12.32,11.73,11.92,35046900,11.65
2013-4-11,12.1,12.2,11.72,11.73,20628100,11.46
2013-4-12,11.7,11.91,11.27,11.42,29268400,11.16
2013-4-15,11.34,11.57,11.11,11.43,30546300,11.17
2013-4-16,11.25,11.96,11.22,11.8,35951600,11.53
2013-4-17,11.78,11.88,11.43,11.67,28862200,11.4
2013-4-18,11.5,12.05,11.46,12.02,36608900,11.75
2013-4-19,12.05,12.66,12,12.49,58307800,12.2
